"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"65","J.Freeman","","2424","0.039","0.026","0.002","44.5%","58.6","61.3","-2.7","9.0"
"66","C.McCoy","","1170","0.038","-0.003","-0.014","43.8%","61.5","62.6","-1.1","7.8"
"67","S.Darnold","","1014","0.038","0.007","-0.018","43.2%","62.9","64.6","-1.7","9.0"
"68","J.Allen","","1087","0.037","0.037","0.028","43.9%","59.6","63.4","-3.8","10.0"
"69","M.Barkley","","384","0.036","0.015","-0.030","49.5%","59.1","61.6","-2.5","10.3"
"70","S.Bradford","","3407","0.035","-0.001","-0.026","44.1%","63.1","64.9","-1.8","7.3"
"71","J.Brissett","","1239","0.033","0.025","0.003","43.6%","62.3","66.1","-3.8","7.7"
"72","G.Minshew II","","594","0.030","0.019","0.001","42.9%","63.2","67.0","-3.8","7.4"
"73","C.Henne","","2278","0.030","-0.016","-0.035","43.3%","60.0","61.8","-1.8","8.0"
"74","J.Driskel","","377","0.029","0.016","0.013","42.2%","62.3","66.2","-3.9","8.1"
"75","B.Bortles","","3233","0.029","0.026","0.001","44.8%","59.9","64.5","-4.6","8.0"
"76","B.Hoyer","","1681","0.027","0.006","-0.014","43.5%","59.7","63.4","-3.6","9.0"
"77","B.Osweiler","","1364","0.027","-0.006","-0.025","44.6%","61.2","64.2","-3.0","8.3"
"78","R.Grossman","","677","0.027","-0.012","-0.036","44.0%","58.1","60.7","-2.6","8.7"
"79","B.Weeden","","1124","0.026","-0.003","-0.023","42.5%","58.5","61.7","-3.2","8.0"
"80","C.Ponder","","1307","0.026","-0.006","-0.034","42.5%","60.5","63.6","-3.1","8.0"
"81","G.Smith","","1158","0.025","-0.003","-0.043","42.4%","58.6","62.0","-3.4","8.5"
"82","K.Kolb","","879","0.025","-0.020","-0.043","42.9%","61.2","63.7","-2.5","8.0"
"83","M.McGloin","","308","0.024","-0.001","-0.044","42.5%","58.5","62.3","-3.8","8.3"
"84","A.Davis","","459","0.020","-0.088","-0.143","45.8%","63.4","64.4","-1.0","8.6"
"85","K.Collins","","652","0.020","-0.011","-0.022","43.6%","56.7","60.6","-3.9","9.2"
"86","S.Wallace","","410","0.019","-0.049","-0.065","41.5%","61.0","63.3","-2.2","7.7"
"87","M.Cassel","","2546","0.018","-0.039","-0.068","42.1%","59.2","62.1","-2.9","8.3"
"88","E.Manuel","","747","0.016","-0.041","-0.066","44.0%","58.9","62.1","-3.2","8.4"
"89","T.Edwards","","361","0.014","-0.113","-0.131","38.2%","59.6","61.5","-1.9","6.7"
"90","Z.Mettenberger","","398","0.013","-0.203","-0.239","40.7%","61.0","63.3","-2.3","8.3"
"91","M.Sanchez","","2724","0.013","-0.024","-0.054","43.7%","57.3","61.9","-4.6","8.7"
"92","J.Delhomme","","564","0.012","-0.130","-0.179","42.2%","60.0","62.2","-2.2","8.9"
"93","J.Manziel","","336","0.009","-0.060","-0.073","39.6%","58.3","62.1","-3.8","8.1"
"94","T.Savage","","387","0.008","-0.079","-0.116","42.6%","58.0","61.4","-3.4","8.9"
"95","T.Pryor","","467","0.007","-0.049","-0.067","41.5%","58.1","62.6","-4.4","8.3"
"96","T.Tebow","","612","0.007","0.001","-0.029","39.1%","48.7","55.8","-7.0","12.8"
"97","B.Gradkowski","","406","0.002","-0.043","-0.047","41.1%","53.9","59.6","-5.6","9.8"
"98","K.Clemens","","467","0.001","-0.068","-0.102","42.2%","57.1","62.0","-4.9","9.2"
"99","B.Hundley","","427","-0.001","-0.117","-0.133","42.6%","59.8","64.3","-4.5","7.8"
"100","T.Yates","","396","-0.001","-0.051","-0.078","42.2%","56.6","62.5","-5.9","9.3"
"101","D.Stanton","","768","-0.003","-0.025","-0.039","41.1%","53.3","60.6","-7.3","10.2"
"102","J.Johnson","","381","-0.003","-0.104","-0.130","42.5%","56.5","61.6","-5.1","8.8"
"103","C.Whitehurst","","488","-0.007","-0.108","-0.120","37.3%","56.3","62.0","-5.7","9.1"
"104","B.Quinn","","544","-0.008","-0.175","-0.204","36.8%","55.2","61.2","-5.9","8.4"
"105","R.Mallett","","380","-0.009","-0.039","-0.047","42.4%","56.0","63.8","-7.8","8.6"
"106","D.Anderson","","847","-0.010","-0.145","-0.172","40.9%","54.8","60.9","-6.1","9.4"
"107","C.Beathard","","488","-0.010","-0.062","-0.104","43.4%","58.0","65.1","-7.1","7.1"
"108","J.Clausen","","567","-0.011","-0.256","-0.282","32.6%","55.7","62.8","-7.1","7.4"
"109","D.Kizer","","678","-0.014","-0.116","-0.140","38.3%","54.0","60.9","-6.9","9.1"
"110","B.Gabbert","","1870","-0.016","-0.131","-0.158","39.1%","56.6","63.9","-7.3","7.9"
"111","J.Skelton","","700","-0.022","-0.184","-0.211","39.4%","53.8","62.3","-8.5","8.9"
"112","J.Rosen","","617","-0.023","-0.255","-0.289","37.6%","57.3","66.5","-9.3","8.5"
"113","C.Painter","","336","-0.031","-0.220","-0.252","38.1%","52.1","62.6","-10.5","8.6"
"114","J.Russell","","306","-0.034","-0.336","-0.362","33.0%","49.4","61.5","-12.1","9.9"
"115","R.Lindley","","310","-0.037","-0.262","-0.312","35.5%","51.1","63.0","-11.9","9.7"
